Time(s),X-Position (X[2]),Y-Position (X[1]),Input U
2.37000000e+000,2.22466303e-002,-4.18580545e-003,9.27759876e-001
2.38000000e+000,2.22035488e-002,-4.44757924e-003,9.28133018e-001
2.39000000e+000,2.21578447e-002,-4.71135988e-003,9.28503982e-001
2.40000000e+000,2.21094981e-002,-4.97714152e-003,9.28872787e-001
2.41000000e+000,2.20584889e-002,-5.24491806e-003,9.29239451e-001
2.42000000e+000,2.20047975e-002,-5.51468314e-003,9.29603991e-001
2.43000000e+000,2.19484038e-002,-5.78643018e-003,9.29966426e-001
2.44000000e+000,2.18892883e-002,-6.06015232e-003,9.30326772e-001
2.45000000e+000,2.18274311e-002,-6.33584244e-003,9.30685047e-001
2.46000000e+000,2.17628128e-002,-6.61349320e-003,9.31041268e-001
2.47000000e+000,2.16954137e-002,-6.89309695e-003,9.31395452e-001
2.48000000e+000,2.16252145e-002,-7.17464583e-003,9.31747614e-001
2.49000000e+000,2.15521957e-002,-7.45813168e-003,9.32097773e-001
2.50000000e+000,2.14763380e-002,-7.74354610e-003,9.32445944e-001
2.51000000e+000,2.13976224e-002,-8.03088040e-003,9.32792143e-001
2.52000000e+000,2.13160295e-002,-8.32012564e-003,9.33136386e-001
2.53000000e+000,2.12315405e-002,-8.61127261e-003,9.33478688e-001
2.54000000e+000,2.11441363e-002,-8.90431183e-003,9.33819065e-001
2.55000000e+000,2.10537982e-002,-9.19923352e-003,9.34157533e-001
2.56000000e+000,2.09605075e-002,-9.49602767e-003,9.34494106e-001
2.57000000e+000,2.08642453e-002,-9.79468396e-003,9.34828800e-001
2.58000000e+000,2.07649934e-002,-1.00951918e-002,9.35161628e-001
2.59000000e+000,2.06627331e-002,-1.03975403e-002,9.35492607e-001
2.60000000e+000,2.05574463e-002,-1.07017184e-002,9.35821750e-001
2.61000000e+000,2.04491146e-002,-1.10077145e-002,9.36149071e-001
2.62000000e+000,2.03377201e-002,-1.13155170e-002,9.36474585e-001
2.63000000e+000,2.02232447e-002,-1.16251139e-002,9.36798306e-001
2.64000000e+000,2.01056706e-002,-1.19364929e-002,9.37120247e-001
2.65000000e+000,1.99849801e-002,-1.22496413e-002,9.37440422e-001
2.66000000e+000,1.98611556e-002,-1.25645464e-002,9.37758845e-001
2.67000000e+000,1.97341796e-002,-1.28811948e-002,9.38075528e-001
2.68000000e+000,1.96040348e-002,-1.31995733e-002,9.38390486e-001
2.69000000e+000,1.94707040e-002,-1.35196679e-002,9.38703731e-001
2.70000000e+000,1.93341701e-002,-1.38414647e-002,9.39015276e-001
2.71000000e+000,1.91944162e-002,-1.41649493e-002,9.39325133e-001
2.72000000e+000,1.90514256e-002,-1.44901069e-002,9.39633317e-001
2.73000000e+000,1.89051816e-002,-1.48169227e-002,9.39939838e-001
2.74000000e+000,1.87556678e-002,-1.51453814e-002,9.40244709e-001
2.75000000e+000,1.86028677e-002,-1.54754673e-002,9.40547943e-001
2.76000000e+000,1.84467654e-002,-1.58071646e-002,9.40849552e-001
2.77000000e+000,1.82873447e-002,-1.61404571e-002,9.41149547e-001
2.78000000e+000,1.81245899e-002,-1.64753282e-002,9.41447941e-001
2.79000000e+000,1.79584852e-002,-1.68117612e-002,9.41744744e-001
2.80000000e+000,1.77890152e-002,-1.71497389e-002,9.42039970e-001
2.81000000e+000,1.76161645e-002,-1.74892438e-002,9.42333628e-001
2.82000000e+000,1.74399180e-002,-1.78302582e-002,9.42625731e-001
2.83000000e+000,1.72602606e-002,-1.81727640e-002,9.42916290e-001
2.84000000e+000,1.70771777e-002,-1.85167427e-002,9.43205316e-001
2.85000000e+000,1.68906546e-002,-1.88621756e-002,9.43492819e-001
2.86000000e+000,1.67006769e-002,-1.92090437e-002,9.43778811e-001
2.87000000e+000,1.65072304e-002,-1.95573276e-002,9.44063303e-001
2.88000000e+000,1.63103010e-002,-1.99070075e-002,9.44346305e-001
2.89000000e+000,1.61098749e-002,-2.02580635e-002,9.44627827e-001
2.90000000e+000,1.59059384e-002,-2.06104751e-002,9.44907881e-001
2.91000000e+000,1.56984782e-002,-2.09642216e-002,9.45186476e-001
2.92000000e+000,1.54874810e-002,-2.13192820e-002,9.45463622e-001
2.93000000e+000,1.52729338e-002,-2.16756350e-002,9.45739330e-001
2.94000000e+000,1.50548239e-002,-2.20332589e-002,9.46013610e-001
2.95000000e+000,1.48331386e-002,-2.23921316e-002,9.46286472e-001
2.96000000e+000,1.46078656e-002,-2.27522307e-002,9.46557925e-001
2.97000000e+000,1.43789927e-002,-2.31135335e-002,9.46827980e-001
2.98000000e+000,1.41465082e-002,-2.34760170e-002,9.47096645e-001
